date,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDBRL,USDCAD,USDCHF,USDCLP,USDCNH,USDCNY,USDCZK,USDHKD,USDHUF,USDIDR,USDILS,USDINR,USDJPY,USDKRW,USDMXN,USDMYR,USDNOK,USDPLN,USDRUB,USDSEK,USDSGD,USDTRY,USDTWD,USDZAR
12/12/2005,0.7559999999999999,1.1974,1.7763,0.7116,2.2595,1.1520000000000001,1.2872,510.65,8.077,8.077,24.241,7.7538,211.73,9755.0,4.6023,46.09,119.62,1033.6,10.6263,3.7760000000000002,6.6428,3.1916,28.7025,7.8755,1.68,1.3483,33.552,6.3245
13/12/2005,0.755,1.1935,1.7677,0.7073,2.2653,1.1519,1.294,511.25,8.0751,8.0751,24.295,7.7535,211.7,9783.0,4.5935,46.095,120.08,1026.0,10.6422,3.775,6.6537,3.2154,28.737,7.9081,1.6746,1.3482,33.495,6.2888
14/12/2005,0.7555,1.2019,1.7726,0.7061,2.2805,1.1517,1.2815,516.25,8.0746,8.0746,24.105,7.7529,210.18,9725.0,4.587,45.7325,117.07,1016.5,10.7096,3.779,6.6036,3.1948,28.6629,7.8432,1.6697,1.3495,33.361,6.3405
15/12/2005,0.7462,1.1957,1.7634,0.6924,2.2982,1.1583,1.2909,515.45,8.074,8.074,24.199,7.7528,211.58,9835.0,4.5878,45.44,116.64,1012.5,10.7328,3.7769999999999997,6.6485,3.2198,28.706999999999997,7.9193,1.6687,1.3493,33.222,6.4263
16/12/2005,0.7435,1.2007,1.7715,0.6896,2.336,1.157,1.2905,516.25,8.0735,8.0735,24.1734,7.7520000000000024,210.7,9875.0,4.5805,45.32,115.87,1016.35,10.7516,3.77,6.647,3.2284,28.6449,7.8834,1.6673,1.3505,33.164,6.4135
19/12/2005,0.7412,1.1997,1.7622,0.6896,2.3819999999999997,1.1653,1.2934,518.08,8.073,8.073,24.131,7.7520000000000024,210.2,9860.0,4.614,45.04,116.01,1015.5,10.7336,3.78,6.6608,3.2098,28.6555,7.8494,1.6615,1.3491,33.186,6.3516
20/12/2005,0.7327,1.1856,1.7532,0.6822,2.3463,1.1748,1.31,513.65,8.074,8.074,24.4284,7.7524,211.73,9855.0,4.606,45.24,117.1,1016.6,10.681,3.7797,6.7843,3.2327,28.7882,7.9549,1.6659,1.3523,33.245,6.3548
21/12/2005,0.7331,1.1815,1.7415,0.6798,2.3046,1.168,1.3157,513.75,8.0765,8.0765,24.496,7.7524,212.23,9825.0,4.6105,45.225,117.34,1018.85,10.6485,3.7797,6.7974,3.2434,28.8286,7.979,1.6684,1.3512,33.255,6.3725
22/12/2005,0.7305,1.1868,1.7381,0.6729999999999999,2.3295,1.1659,1.3119,513.25,8.0775,8.0775,24.38,7.7527,211.78,9835.0,4.6009,45.2025,116.78,1016.5,10.6482,3.779,6.7845,3.2411,28.7909,7.9697,1.6697,1.3509,33.258,6.3725
23/12/2005,0.7283,1.186,1.7327,0.6723,2.316,1.1662,1.3137,514.25,8.0762,8.0762,24.441,7.752999999999999,211.68,9860.0,4.5835,45.1675,116.2,1013.6,10.694,3.7795,6.7816,3.2246,28.7821,7.9795,1.6654,1.3501,33.174,6.3463
26/12/2005,0.7311,1.1861,1.733,0.6759999999999999,2.3373,1.1666,1.3126,513.88,8.0755,8.0755,24.44,7.7537,211.86,9835.0,4.6,45.045,116.21,1011.85,10.6953,3.7795,6.7602,3.2247,28.7806,7.9764,1.6658,1.3475,33.096,6.3788
27/12/2005,0.726,1.1852,1.7299,0.6748,2.3385,1.1742,1.315,514.75,8.074,8.0765,24.436999999999998,7.7527,211.83,9855.0,4.607,45.2725,117.19,1014.35,10.7328,3.7798,6.7638,3.2476,28.8065,7.9784,1.6672,1.3515,33.131,6.3616
28/12/2005,0.7278,1.1836,1.7167,0.6791,2.344,1.1651,1.3177,513.75,8.0725,8.0725,24.451,7.7529,213.03,9830.0,4.593,45.135,117.86,1013.5,10.779000000000002,3.7798,6.806,3.2633,28.805,7.9542,1.6666,1.35,33.102,6.36
29/12/2005,0.7325,1.1842,1.7227,0.6824,2.3236,1.1640000000000001,1.3149,514.35,8.0709,8.0709,24.5365,7.7532,213.41,9835.0,4.585,45.1625,117.8,1009.35,10.683,3.77,6.7711,3.2562,28.805,7.9581,1.6653,1.3501,32.900999999999996,6.3288
30/12/2005,0.7336,1.1833,1.7187,0.6804,2.3355,1.1624,1.3152,514.0,8.0702,8.0702,24.594,7.7537,213.64,9840.0,4.606,45.05,117.97,1010.0,10.606,3.7795,6.7491,3.2495,28.7414,7.9497,1.6627,1.3497,32.825,6.3375
02/01/2006,0.7336,1.182,1.7231,0.6809999999999999,2.338,1.1639,1.3144,513.55,8.0702,8.0702,24.5645,7.7547,213.79,9815.0,4.5985,45.0925,117.79,1007.95,10.635,3.7795,6.7468,3.2673,28.7414,7.9584,1.6605,1.351,32.81,6.3476
03/01/2006,0.7390000000000001,1.198,1.742,0.6826,2.331,1.1562,1.2938,518.85,8.0702,8.0702,24.232,7.7535,209.93,9665.0,4.584,45.0488,116.41,1002.85,10.6265,3.779,6.6427,3.1978,28.7414,7.807,1.6526,1.3434,32.64,6.2329
04/01/2006,0.7479,1.2127,1.7605,0.6884,2.29,1.1472,1.276,514.17,8.0676,8.0676,23.898000000000003,7.7536,206.58,9655.0,4.575,44.76,115.98,998.1,10.5855,3.7711,6.5332,3.1404,28.7414,7.6917,1.645,1.3348,32.335,6.1579999999999995
05/01/2006,0.748,1.2097,1.757,0.687,2.2865,1.1638,1.2772,518.75,8.0657,8.0657,23.8893,7.7535,207.43,9595.0,4.6145,44.725,115.96,987.35,10.6028,3.7679,6.5569,3.1485,28.67,7.7151,1.6469999999999998,1.3355,32.008,6.1498
06/01/2006,0.7533,1.2154,1.7712,0.6917,2.2809,1.1651,1.2687,522.25,8.0668,8.0668,23.781999999999996,7.7536,206.15,9551.0,4.6168,44.585,114.35,987.9,10.557,3.7525,6.5265,3.134,28.67,7.6648,1.6389,1.3308,32.194,6.0915
09/01/2006,0.7537,1.2081,1.7675,0.6938,2.249,1.1689,1.2769,523.25,8.0641,8.0641,23.838,7.7512,206.73,9455.0,4.621,44.305,114.46,977.45,10.5645,3.7488,6.5675,3.1159,28.67,7.71,1.6366,1.3369,31.95,6.037999999999999
10/01/2006,0.7492,1.2065,1.7642,0.6936,2.2604,1.1637,1.2807,522.75,8.0657,8.0657,23.851,7.7511,207.75,9452.0,4.638,44.3275,114.59,982.05,10.6008,3.7488,6.6263,3.1338,28.5065,7.7542,1.6339,1.345,32.019,6.105
11/01/2006,0.7567,1.2134,1.7659,0.6979,2.2833,1.1588,1.2728,524.25,8.0682,8.0682,23.671999999999997,7.7514,206.04,9465.0,4.628,44.3275,114.06,978.35,10.6105,3.747,6.6239,3.1205,28.4281,7.6957,1.6285,1.3369,32.069,6.05
12/01/2006,0.7507,1.2031,1.7608,0.6933,2.2651,1.162,1.2865,522.75,8.0659,8.0659,23.934,7.7516,208.08,9345.0,4.6265,44.15,114.24,974.1,10.5745,3.741,6.7024,3.1591,28.5047,7.7360000000000015,1.626,1.3398,31.877,6.065
