date,Spot,ImpVol,RiskRev,Bfly,IR_X,IR_Y
12/12/2005,1.2872,0.09325,0.1,0.17,4.3675,1.0925
13/12/2005,1.294,0.09300000000000001,0.1,0.17,4.3693800000000005,1.1184
14/12/2005,1.2815,0.09375,0.1,0.17,4.37,1.1771
15/12/2005,1.2909,0.0915,-0.15,0.17,4.37,1.0027
16/12/2005,1.2905,0.0895,-0.15,0.17,4.37,1.0156
19/12/2005,1.2934,0.09050000000000001,-0.15,0.17,4.37,1.0152
20/12/2005,1.31,0.0915,-0.15,0.17,4.37,1.0295
21/12/2005,1.3157,0.092,-0.15,0.17,4.37,1.0467
22/12/2005,1.3119,0.09275,-0.15,0.17,4.37875,1.0325
23/12/2005,1.3137,0.09275,-0.15,0.17,4.38,1.057
26/12/2005,1.3126,0.09177400000000001,-0.15,0.17,4.38,1.0269
27/12/2005,1.315,0.09377,-0.15,0.17,4.38,1.0371
28/12/2005,1.3177,0.09449999999999999,-0.15,0.17,4.38875,1.0171
29/12/2005,1.3149,0.09426899999999999,-0.15,0.17,4.385,1.0244
30/12/2005,1.3152,0.09426899999999999,-0.15,0.17,4.39,1.038
02/01/2006,1.3144,0.09275,-0.15,0.17,4.39,1.0309
03/01/2006,1.2938,0.09625,-0.15,0.17,4.3975,1.0153
04/01/2006,1.276,0.09851800000000001,-0.303,0.1255,4.4,1.0426
05/01/2006,1.2772,0.09776699999999999,-0.303,0.1255,4.41875,1.0535
06/01/2006,1.2687,0.09626699999999999,-0.3535,0.1255,4.42,1.0316
09/01/2006,1.2769,0.09626799999999999,-0.2525,0.1254,4.43688,1.0186
10/01/2006,1.2807,0.09526799999999999,-0.2828,0.1255,4.44,1.0191
11/01/2006,1.2728,0.095769,-0.2727,0.1254,4.44163,1.0197
12/01/2006,1.2865,0.09275,-0.25,0.1875,4.47,1.0085
13/01/2006,1.2766,0.091,-0.25,0.1875,4.47,1.0005
16/01/2006,1.2796,0.0935,-0.25,0.1875,4.48,0.9521
17/01/2006,1.2834,0.09376799999999999,-0.2525,0.1254,4.48313,0.9893
18/01/2006,1.2829,0.094518,-0.2525,0.1254,4.49,0.9633
19/01/2006,1.2819,0.092017,-0.2525,0.1254,4.51,0.9553
20/01/2006,1.2819999999999998,0.09101699999999999,-0.20199999999999999,0.1255,4.51938,0.9398
23/01/2006,1.2587,0.095517,-0.3535,0.1255,4.53,0.9104
24/01/2006,1.2588,0.09325,-0.3,0.1875,4.53375,0.9264
25/01/2006,1.2624,0.09275,-0.275,0.1875,4.54,0.9478
26/01/2006,1.2685,0.090518,-0.20199999999999999,0.1255,4.56,0.9529
27/01/2006,1.2805,0.091018,-0.1515,0.1255,4.56813,0.9659
30/01/2006,1.2868,0.093018,-0.10099999999999999,0.1256,4.57,0.9618
31/01/2006,1.2758,0.09401799999999999,-0.1313,0.1255,4.57,1.0014
01/02/2006,1.2865,0.093018,-0.10099999999999999,0.1256,4.57063,1.0083
02/02/2006,1.2849,0.09300000000000001,-0.0707,0.1875,4.57038,1.0433
